City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tiksi,RU,71.6872,128.8694,24.76,69,100,12.24,overcast clouds
80,East London,ZA,-33.0153,27.9116,63.05,75,100,10.13,overcast clouds
81,Aninoasa,RO,44.9667,25.4333,45.73,99,100,6.69,light rain
82,Salalah,OM,17.0151,54.0924,78.89,83,0,4.61,clear sky
83,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,10.36,few clouds
84,Great Falls,US,47.5002,-111.3008,52.99,69,75,1.01,broken clouds
85,Esperance,AU,-33.8667,121.9,58.84,58,97,13.69,overcast clouds
86,Bandrele,YT,-12.9067,45.1914,78.55,78,75,11.5,light rain
87,Constantine,DZ,36.365,6.6147,53.01,76,0,2.3,clear sky
88,Borba,BR,-4.3878,-59.5939,74.01,97,100,2.37,overcast clouds
89,Newton,US,42.337,-71.2092,61.56,82,90,5.01,overcast clouds
90,Derzhavinsk,KZ,51.1,66.3167,39.67,67,0,5.14,clear sky
91,Yatou,CN,37.15,122.3833,73.45,82,90,12.66,overcast clouds
92,Palmer,US,42.1584,-72.3287,61.32,75,20,9.22,few clouds
93,San Felipe,VE,10.3399,-68.7425,73.71,98,100,1.32,overcast clouds
94,Puerto Concordia,CO,2.6221,-72.7572,73.08,96,77,1.34,broken clouds
95,Los Negros,BO,-17.7333,-63.4333,83.75,50,99,7.09,overcast clouds
96,Asfi,MA,32.2994,-9.2372,67.14,94,11,9.42,few clouds
97,Upernavik,GL,72.7868,-56.1549,25.11,58,42,8.39,scattered clouds
98,Carnarvon,AU,-24.8667,113.6333,68.07,45,0,21.85,clear sky
99,Cairo Montenotte,IT,44.4031,8.2746,62.82,99,84,6.26,broken clouds
100,Te Anau,NZ,-45.4167,167.7167,57.88,55,21,2.42,few clouds
101,Talaya,RU,61.3833,152.75,20.53,69,23,1.88,few clouds
102,Saint-Francois,FR,46.4154,3.9054,49.48,93,90,3.44,fog
103,New Norfolk,AU,-42.7826,147.0587,59.92,48,97,3.47,overcast clouds
104,Guerrero Negro,MX,27.9769,-114.0611,72.3,79,3,19.33,clear sky
105,Ponta Do Sol,PT,32.6667,-17.1,72.23,75,99,3.65,overcast clouds
106,Narsaq,GL,60.9167,-46.05,35.82,49,0,7.14,clear sky
107,Lasa,IT,46.6166,10.7002,47.66,81,6,1.72,clear sky
108,Hasaki,JP,35.7333,140.8333,75.6,85,99,16.55,overcast clouds
109,Urucara,BR,-2.5364,-57.76,77.5,81,66,2.15,broken clouds
110,Saint Anthony,US,45.0205,-93.218,68.32,85,1,1.01,clear sky
111,Tasiilaq,GL,65.6145,-37.6368,35.76,80,100,5.32,overcast clouds
112,Sao Filipe,CV,14.8961,-24.4956,79.63,80,55,3.51,broken clouds
113,Klyuchi,RU,52.2667,79.1667,38.88,82,0,11.21,clear sky
114,Bilibino,RU,68.0546,166.4372,12.94,92,58,0.49,broken clouds
115,Ancud,CL,-41.8697,-73.8203,47.43,91,0,4.23,clear sky
116,Hilo,US,19.7297,-155.09,80.33,74,90,11.5,light rain
117,Jumla,NP,29.2747,82.1838,60.37,71,60,1.79,broken clouds
118,Nouadhibou,MR,20.931,-17.0347,75.18,69,100,17.27,dust
119,Nuuk,GL,64.1835,-51.7216,32.61,86,5,5.75,clear sky
120,Katsuura,JP,35.1333,140.3,78.84,81,80,12.91,broken clouds
121,Quatre Cocos,MU,-20.2078,57.7625,69.91,79,33,13.4,light rain
122,Ola,RU,59.5833,151.2833,35.64,55,8,0.6,clear sky
123,Nanortalik,GL,60.1432,-45.2371,37.13,63,0,6.64,clear sky
124,Haputale,LK,6.7681,80.9595,63.19,75,100,6.22,overcast clouds
125,Udachnyy,RU,66.4167,112.4,34.59,93,100,20.51,light rain
126,Zheleznodorozhnyy,RU,55.7503,38.0042,33.37,70,0,3.69,light snow
127,Seymchan,RU,62.8833,152.4333,25.92,54,25,3.44,scattered clouds
128,Majene,ID,-3.5403,118.9707,83.79,72,99,9.66,overcast clouds
129,Kargasok,RU,59.0556,80.8572,39.22,82,100,15.23,overcast clouds
130,Jiayuguan,CN,39.8167,98.3,34.02,54,5,1.79,clear sky
